Instancia,Solucao Guloso,Solucao Ref,Desvio %,Rotas
mgval_0.50_4B,0.0,413.0,-100.0,0
mgval_0.50_4C,178.0,488.0,-63.52,4
mgval_0.50_4D,14.0,580.0,-97.59,1
mgval_0.50_5A,494.0,367.0,34.6,4
mgval_0.50_5B,455.0,378.0,20.37,5
mgval_0.50_5C,547.0,457.0,19.69,6
mgval_0.50_5D,22.0,539.0,-95.92,1
mgval_0.50_6A,9.0,210.0,-95.71,1
mgval_0.50_6B,35.0,210.0,-83.33,1
mgval_0.50_6C,532.0,293.0,81.57,7
mgval_0.50_7A,357.0,248.0,43.95,4
mgval_0.50_7B,228.0,276.0,-17.39,4
mgval_0.50_7C,260.0,320.0,-18.75,7
mgval_0.50_8A,257.0,388.0,-33.76,2
mgval_0.50_8B,637.0,350.0,82.0,4
mgval_0.50_8C,711.0,501.0,41.92,9
mgval_0.50_9A,409.0,306.0,33.66,5
mgval_0.50_9B,347.0,278.0,24.82,6
mgval_0.50_9C,631.0,292.0,116.1,5
mgval_0.50_9D,333.0,358.0,-6.98,5
